,mark,review_text,date
24,9," место силы! форосе впервые отдыхали ещё аж 1998 году) снимали квартиру. часто бывали самом пгт. парке. году раскошелились отдых самом санатории. отдыхали марте. море холодное санатории шикарный бассейн морской водой. красивый очень функциональный. сауна финская хамам. вообще понять суть форос рекомендовала именно санаторий форос. находится прямо парке фороса, это главная достопримечательность поселка. плюс виды шикарные море горы. персонал очень приятный. невероятное место.место силы! ",28 мая 2022
25,9," хорошее место отдыха! езжу отдыхать второй год!хорошие номера,отличная кухня.есть медцентр,качалка,бильярд.очень близко морю.шикарная природа.остался доволен.обязательно приеду еще! ",24 мая 2022
26,10," лучший отдых уютном дворике евпатория очень полюбила евпаторию ,отдыхала июнь 2021 чемоданах ,билеты куплены июнь 2022. еду прекрасным людям ирина александр,такого гостеприимство очень редко встретишь ,порядок уют ,соответствует названию уютный дворик рядом ,все подскажут ,свозят . ",22 апреля 2022
27,10, одна изюминок севастополя завораживает. прекрасное место. туда тянет снова снова. ,15 марта 2022
28,1," злой свекрови. косицкого, 27 косицкого, 27 руслан наталья - ужасно. врагам не пожелаю провести свой отпуск данном гостевом доме. такого хамского отношения не встречала, хотя путешествуем очень часто. ощущение попали дом злой свекрови: не ходите ковру- протрете нем дыру! . ужасная атмосфера, выдохнули, уехали оттуда! гонору хозяйки- одолжение делает, снизошла нас, простых смертных, позволила пожить дворце ))). моря, кстати, далеко. магазинов. впечатление испорчено обо всем городе благодаря данному заведению. однозначно не рекомендую. ",13 февраля 2022
29,10," никто не забыт... внуком (10 лет) июне 2021 года. экскурсия тяжёлая, слёзы наворачиваются, очень познавательная. внук впечатлён. очень переживали, узнали, аджимушкайские каменоломни затопило году. советские солдаты, мирные жители, детки столько пережили, ещё могилы затопило...сердце разрывается боли... ещё хотелось посоветовать организаторам эксеурсии, говорили желательно брать собой детские игрушки...мы не знали, сожалентю. всё, увидели каменоломнях навсегда останется наших сердцах нашей памяти. низкий поклон советским солдатам всему поколению. спасибо простите нас... ",29 января 2022
30,10," судак самый лучший город крыма удивляюсь тем, пишет судак плохо. отдыхаю крыму 2001г. роду службы не выездная. 2006г.пыталась разнообразить свой отдых делю 2 части . первую провожу незнакомом месте крыма, вторую возвращаюсь судак. это время- роднее судака не нашла. ялта, алупка, алушта, рыбачье, феодосия, коктебель т.д. судаке чистейшее море. всегда! исключением пары дней приливом. посмотреть всему крыму. самое главное- дома!!! понятно турции шведский стол all inclusive, простите пляжа стола увидите? обычно, сентябре 2021 судаке. действительно не обычно. прохладнее. это всему крыму! судак наговаривать ?подводя итог: судак самый лучший город крыма. теплее ближайших городах спрятан горами. дожди не 2-х дней. жилье питание выбрать своему кошельку. ",05 января 2022
31,1," служба безопасности сегодня довелось посетить парк тайган. получили разных эмоций, втом числе неготивные. всёшло хорошо, пока не обноружил потерялся четырёх летний сын, оббежал пол парка. принял решение сообщить администрации попросить сделать объявление калонкам которые весят играют всему парку, получил ужасающий ответ: объялений не делаем ищите сами😡😡😡😡. пришлось оббежать весь парк (32 гектара) лично донесть информацию каждому сотруднику парка. достиг результата. службу безопасности просто отсутствует, ваш ребёнок ваши проблемы, решайте сами. 😵😵😵 ",07 ноября 2021
32,10, хороший театр. рекомендую решила отметить день рождения сына посещением театра юного зрителя . спектакль варшавская мелодия . впечатление великолепное. постановка артисты очень высоком уровне. затронули душу вызвали эмоции . вечер удался. моим коллегам спектакль понравился. спасибо праздник!!! ,11 октября 2021
33,1," очень неприятный осадок из-за хамского поведения охранника кассе само место удивительное.но хамское поведение охранника кассе, устроившего скандал экскурсоводу присутствии группы вопрос кассиру, льготы вход гиду, зарегистрированному реестре экскурсоводов. вместо ответа - раздраженный крик, скандал очередь. спрашивать документ, внимательно читать, злобно орать? почему ответ дать корректно доброжелательно?билет куплен. атмосфера путешествия испорчена меня, всей группы. вожу экскурсии крыму большим удовольствием, часто показываю любимые места друзьям, которых много, возвращаться чуфут-кале не хочется из-за такого отношения работников посетителям. очень жаль, культурных объектах крыма работают люди низким уровнем культуры. ",24 сентября 2021
34,1," осторожно-мошенники голубями г. севастополь г. севастополе районе графской пристани крутятся молодые люди голубями прочей живностью. предлагают сфотографироваться вашему ребенку голубем. подходят сажают голубя. еще. восторге дружелюбия веселых аниматоров. протягивает купюру 500р., 1000р. т. д., остаётесь денег... назовут сумму, сосчитав каждое животное, ещё должны останитесь!!! поэтому гоните этих птичников подальше сразу. ",23 сентября 2021
35,2, очень красивая природа отдыхать очень плохо. ужасное отношение туристам. сервиса нет вообще. грубые продавцы таксисты обслуживающий персонал. цены высокие. гостеприимства нет вообще. отдыхали отрадном море чистое. природа красивая. посмотрели покупались удовольствием уехали домой. сочи в1000 лучше. ,21 сентября 2021
36,10," самый потрясающий, романтичный город земле добрый день, дорогие друзья! - семья волковы краснодарского края отдыхали ялте 21.08 28.08.2021г. первый раз. влюбились красивейший самый романтичный город мире первого взгляда. место отдыха - очень зелёный замечательный санаторий им. кирова. поразило буквально все: красота города, природа, архитектура, самое главное - атмосфера, царящая ялте. слов нет описать наш фееричный отдых, поэтому сотворили видеоклип делимся вами. ",18 сентября 2021
37,1," ужасно таким ещё не сталкивались, хотя побывали! хозяйка наталья считает нормальным стать окнами 8:30 орать соседу александру, неё живут гости колхоз красное дышло!!!! также высказываться не стесняясь матом!!! гост.доме проблемы водой, горячая холодная, мучение принять душ!!! wi-fi проблемы. наталья мило улыбаться, платишь деньги. её радушие заканчивается! стоит туда ехать, делайте выводы сами!!! наталья не забывайте, платим!!!! ",16 сентября 2021
38,10," всем советую) плюсы: -великолепная атмосфера времени. -аудио световое шоу-индивидуальный экскурсовод наушнике. интересное повествование зонам музея.-качественные экспонаты (манекены) реальные военные образцы-разрешена видео фотосъемка любом залов-оптимальное время маршрут посещения. есть, чему уделить внимание, интересная история, которая не требует слишком времени.минусы: не обнаружил. ",09 сентября 2021
39,6," билеты билеты продавали единые. купил экскурсию , музеи не пускают. билет. ",05 сентября 2021
40,8," феодосия крым август 2021 13 ночей. 52 тыс перелёт двоих, 68 отличный отель reiss центре города начали свой отдых. крыму второй первый путешествовали машине объехали юбк. выбор пал феодосию искали песочный пляж, набережную погулять вечером. совет: выбирайте хороший отель иначе впечатление отдыха испорчено крым это разруха повсюду заброшенные полуразрушенные здания, дикие цены, грязь. приходится ходить поэтому отдых не ленивых. климат феодосии хороший днем жарко не душно юбк. вечером комфортно. пляжи песчаные песок - мелкая галька. вход море пологий песчаный море чистое. отдыхом довольны впреди 5 дней загар хороший. съездить. вышло около 170 тысяч дорого отсутствия возможности поехать границу лучший вариант. слову деньги 2019 году взяли тур вьетнам месяц. + собой 50к. ",28 августа 2021
41,10," незатронутая человеком территория? смешно! весь позастроен садовыми товариществами, ещё многоэтажек понастроили... 13, кое-где ещё остатки полынной степи, интересно, кусочек остался? пятёрка - не сервису вообще не тому, возведено человеком. морю, пляжам, обрывам степи. хотя гостевой дом мабир весьма понравился. да, монастырь хорош внешне. внутри не была. лестница яшмовому пляжу - природный тренажёр, раз-два приводит форму) ",20 августа 2021
42,10," посещала пляж 117 прошлом году. понравилось. пляж очень просторный чистый, соринки, мусоринки. приятно, работники тщательно следят, место идеальном состоянии. отдыхать комфортно. ",13 августа 2021
43,2," опасно жизни сбежали евпатории, 2 дня назад. отдыхали заозерном, ребёнок 5 лет заболел каким жутким ротовирусом. не помогало. вторую ночь бесконечной рвоты вызвали скорую, не сделали, не забрали, больницы закрыты ковид. отругали сюда приехали. чудом нашли третий день, надежды не спасение, платный центр, единственный…. поставили капельницу. вену попали третьего раза( детей полно, капают. общем, это последний раз, последняя попытка посетить крым. антисанитария полная, пляжи грязные, туалет закрыт ключ, ключ купить. везде воняет нечистотами( берегите главное детей. спасать не будет. заказали минивэн руках вынесли ребёнка приехали москву. дорога это отдельная песня( муж задорого заказал минивэн бизнес класса, обманули. дикая дорога, дико дорого. это крым, детка( ",12 августа 2021
44,10," очень познавательно! крепость очень интересной историей. отличная экскурсия!понравилось всей семье. добирались машине старой дороге (которую порекомендовал яндекс)-мы не рекомендуем)) выезжали новой дороге, которая процессе строительства. ",12 августа 2021
45,4, редкого любителя. жарко. нудно. неинтересно. дорого. добраться крепости. вообще квест. дорог нет. указатели неинформативны. крепость которая не участвовала не каких боевых действиях лично не интересна. вообще подойдёт людям связаным архитектурой. студентам пособие строительству оборонительных сооружений. ,07 августа 2021
46,10," порой хочется просто понежиться берегу моря, никуда не спеша, поваляться, побездельничать. пляж № 117 плане хорош, т. к. обширен, и, переполнен, это не особо чувствуется благодаря большой площади. валяться надоедает, заняться водным видом спорта чем-то традиционным. пляжное пространство организовано умом. ",06 августа 2021
47,10," супер зоопарк!!! лучший зоопарк!!! львята тигрята- просто сбывшая мечта!!! нет слов, передать эмоции держишь руках это чудо!!!!!!!! ",05 августа 2021
48,2," очень плохо неожидали такого отношения туристам. ограничили времени посещения территории херсонеса. причем нигде не объявлено этом. покупая билеты, кассир сказала сегодня работаем 17-00 . приехали издалека, 14 часов, 16-30 охрана стала объявлять, покинули территорию. 17 часов посетителей выпроводили.обидно, осмотр руин инкерман прошел второпях, дети вообще не поняли, объяснять подробно не времени. современные стили смешали глубокой стариной, ужасная сцена портит амфитеатр! десять лет назад всё изменилось! исчезла атмосфера античности, таинственности ранее замирала душа. одно разочарование!!! всем неприятно охраны, снующей там... ",05 августа 2021
49,9," отличный отлых отдыхали ялте июле месяце, приморский парк (пальмовая аллея, бювет мниральной водой)снимали квартиру, самое красивое место ялте инфраструктура развита рестораны, спа центр море рядом , пляж оборудован зонты лежаки не многолюдно , рядом пляж ливадии не многолюдный море чистейшее ",02 августа 2021
50,4," очень красивая природа, плохой сервис высокие цены крыму стоит побывать ради природы. остальном дешевле, интереснее безопаснее поехать заграничные курорты, особенно, маленькие дети. ощущение, каждым годом цены ростут разы. халупы местных арендаторов не очень высокие, нормальный отель цена невменяемая. остановились 25 км алушты. городок грязный, стройки, заборы, горную реку стекают стоки канализации. накупались, сходили водопады, прогулка морю и.. наверное развлечения. автомобиля сложно, перевозчиков местные бомбилы уазиках. туры неслабо дерут.рекомендую ехать не сезон , интересно выбраться поход горы, курортного отдыха сочи, турция египет. ",01 августа 2021
51,2," позор местной власти! отдыхаем 4-й год. устраивает жильё, море воздух. второй год поражаемся усердству местной власти. прошлом году июле- августе стали реконструировать заброшенную спортивную площадку рядом кипарисовой аллеей, постоянно прогуливается отдыхает скамейке народ. дни громыхала техника! году разбомбили саму аллею - меняют плитку! зачем???!!! плитка ровная, отдыхать аллее приятно. деньги отмыть октябре! противно! ",31 июля 2021
52,10," ракушечный пляж отеля sunrise — лучших, бывала! столько развлечений, попить перекусить. таким отдыхом спорт не забудешь — водные гонки, волейбол... советую посетить № 117! ",28 июля 2021
53,1," пешком это не сочи, каждые 10-15 секунд подъезжает будка фуникулёра.тут ждать несколько минут 10-15. очереди отстоять минут 40-60)))вокруг будут кишить всякие упыри, впаривающие подняться машине, это не стоит.и канатка не стоит.чтоб ощутить прекрасные эмоции подняться пешком, ~2 часа наверх. зато увидите красоту лично, красивых видов пути. оно стоит ",24 июля 2021
54,5," отдых наличии наличных отдыхали евпатории. сервис низком уровне. прошлый век. такое ощущение турист должен приехать мешком наличных. день принимают безнал. следующий день не принимают. аквапарк стоит не малых денег семью 4х человек, принимают наличные. отдыхали пляже геракл. развлечений море много,цены завышены. плюс принимали безнал. прекрасный день подходим заказать катамаран, говорят сегодняшнего дня безнал не принимают. остались смешанные чувства отдыха крыму. ",17 июля 2021
