,mark,review_text,date
10,10,"
Мы с парнем были в конце июля в отеле Санрайз и приятно были удивлены пляжем 117. На фото я его, конечно, видела, но в реале все оказалось намного ярче, круче, солнечнее. Шикарный пляж, песок бесподобный, вода чистая, сильных волн нет. По части развлечений десять баллов из десяти, очень здорово, весело и оживленно. Тут самые лучшие бананы, мы катались каждый день. Суперский пляж, отлично время провели.
      
      
",31 августа 2022
11,10,"
Отлично! Второй раз приезжаем сюда из-за этого роскошного, огромного пляжа. Он отлично оборудован, чистый, без опасений ходим босиком. Лежаков достаточно, как и развлечений. В этом году на бананах и скутерах накатались до упаду) С безопасностью тоже полный порядок - медпункт, спасатели. Тут и семьям с детьми комфортно, и группам молодежи, и парам, всем есть чем себя занять.
      
      
",29 августа 2022
12,5,"
Красивый город превращенный в помойку! Ялта-город счастья! На всех банерах, это видимо, команда мэра так считает. Город ухожен один квартал от набережной, далее трэш, мусор, старые листья, убитые тратуары, если не ноги, то колёса чемодана точно сломаешь. Даже автовокзал, убитые дорожки, засраный парк и ни одной скамейки. Может мэру надо чаще ножками по родному городу ходить?  Жители Ялты подумайте на следующих выборах, кого выбирать. 
      
      
",29 августа 2022
13,10,"
Класс! Самый адекватный пляж в Феодосии. Тут прекрасная атмосфера веселья, народ отдыхает на полную катушку. Диджеям мой респект за грамотный подбор музыки, можно и потанцевать вечерами. Коктейли в баре вкусные, есть много закусок, напитков по лояльным ценам. И ехать до пляжа недалеко из центра. Советую, если будете в Феодосии, не поленитесь доехать, точно не разочаруетесь.
      
      
",25 августа 2022
14,10,"
Очень рекомендую для отдыха Южную Косу. ( Мирный в 5 мин) Шикарный пляж и рядом мелкое,чистое  озеро. Для любителей спокойного отдыха с детьми и друзьями. Не пожалеете!!! 
      
      
",21 августа 2022
15,10,"
Пляж понравился. У меня всегда очень строгие требования к пляжам - комфорт и безопасность должны быть во главе угла. 117й соответствует по всем пунктам, есть медик на пляже, спасатели, уборка в течение всего дня. И дно здесь хорошее, с детьми безопасно, никаких течений, камней или неадекватных посетителей. Развлечений достаточно, цены как везде в Крыму.
      
      
",21 августа 2022
16,9,"
Любите Крым, как люблю его я! Читаю отзывы и думаю :а в той ли Евпатории я была? И в той ли Евпатории были мои друзья, которые приехали туда впервые, и те, которые отдыхают там много лет? Дорого? Да. Но и  на ЮБК не дешевле. Это ж Юг! А у нас в Подмосковье, где я живу, ценники зашкаливают. Все взрослые и, планируя отдых, наверное можно изучить ценник. Все хотят кушать. А по поводу отношений между людьми, всем известно, дряни везде хватает,или вы все живёте в сказке. И Крым тоже не однозначный, но очень тёплый,красивый, дружелюбный и за многие годы почти родной.  Я лично не против Турции и Анапы, нравится, езжайте. Каждый находит то что ищет, где бы он ни был. 
      
      
",18 августа 2022
17,10,"
Алупка очаровывает . Лучшее место на ЮБК.! Ездим более 10 лет. Пробовали отдыхать в других местах в Крыму. Везде хорошо, но Алупка  особенная. В этом уютном городке есть все . И море и парк и близость  достопримечательностей.  Потрясающая природа и виды на горы. Понимаю, почему губернатор Воронцов именно здесь заложил свой дворец! И сам дворец - шедевр! И по этой красоте можно гулять каждый день совершенно бесплатно, чего не скажешь про другие парки Крыма.   Удивительной красоты дно- рай для тех, кто любит любоваться подводным миром.  На нашем любимом детском пляже разнообразное купание каждый день . Огромные камни защищают пляж от волн и можно купаться и получать удовольствие в любой шторм. Более того, в шторм особенно радуются все. Волны, ударяясь о камни , дают густую пену и массу пузырьков. В восторге все: и дети и взрослые! Всем рекомендую хотя бы раз приехать в этот городок и насладиться его атмосферой и красотой.
      
      
",15 августа 2022
18,2,"
Дорого и на вас всем плевать Приехали, подошли в кассу, оказалось, что оплата только наличными, причем в кассе оплачивается только пешая прогулка, а если вы хотите ехать на транспорте, то нужно договориться где-то внутри. Никакой информации об этом и ценах на транспорт возле кассы нет.В здании снаружи есть банкомат, но в нем не работает МирПэй, с помощью телефона вы деньги с карты не снимете. Мобильный интернет возле парка не работает. Открытой точки WiFi там тоже нет.Мы приехали в жару и солнцепек, ходить пешком никакого желания не было. Налички было немного, только на пешую прогулку, отсутствие информации оптимизма не прибавляло. Пополнить карту с накопительного счета не получается из-за отсутствия интернета.В общем плюнули и уехали. Сервис на входе в районе 0. Дальше идти не захотелось.
      
      
",13 августа 2022
19,10,"
Если за морем и воздухом - тогда точно сюда! А мы любим Евпаторию и уже шесть лет подряд приезжаем сюда за шикарным воздухом и чудесным морем! Ребёнок перестал болеть, у мужа затянулись раны на пальцах рук и ног, так что искренне рекомендую! Если погулять по ровным тротуарам, поесть подешевле и номер за недорого, тогда точно не сюда! Ещё один плюс - неустойчивый интернет, так что информационный детокс вам и вашим детям точно обеспечен! 😉
      
      
",12 августа 2022
20,10,"
Рада, что приехала сюда. Второй год отдыхала на пляже Sunrise. Впечатления всегда остаются только хорошие. Пляж чистый и уютный. Всегда спокойно. Есть где перекусить и выпить коктейль. Думаю, вернусь сюда ещё и не раз. 
      
      
",06 августа 2022
21,1,"
Судак - средняя Азия в Крыму. Два года подряд отдыхали в Гурзуфе и в этом году решили поменять локацию. Выбрали Судак стартовым местом перед основным отдыхом в Поповке и очень пожалели о своем выборе.Остановились в гостинице Алчак Кая, где сходу объявили, что забыли про нашу бронь и предложили номер ""второй свежести"". К счастью хозяин достаточно быстро решил вопрос и номер, который бронировали, был освобождён. Хотя на фото он выглядел гораздо приятнее, но тут , возможно, решает ракурс, хз.Улицы квартала Ачиклар и подходы к морю оставили тяжёлое впечатление - пыль, грязь, стройка, пьяные шашлычники и продаваны самодельного алкоголя.Хотелось уже дойти до моря и смыть весь негатив, но море в этот вечер было тоже против нас. После шторма все прибрежье было в водорослях, окурках, медуза и всем тем, что море благодарно возвращает нам.В общем нас хватило ровно на один вечер. В шесть утра выехали в Поповку, благо нас приняли раньше брони на два дня.Вывод: в Судак больше ни ногой. Что вы все там нашли?
      
      
",27 июля 2022
22,4,"
Евпатория?! Отдых?! Так ли это?! Добрый день! Мы сами из Краснодара, хотели посмотреть красоты Крыма, а наткнулись на полное невежество, хамство, обман, быдлячество , мошенничество. Есть плюсы об отдыхе, это прекрасна архитектура, сам городок тихий и милый. Но люди?! Что с Вами?! Сначала мы решили зайти в аптеку-музей, когда поздоровались с провизором, это вызвало возмущение, что вам надо??? Мы зашли в помещение, просто поздоровались, как культурные люди, а это получается ненормально. «приставалы» на улице, требующие за свои фотографии 4800?! Куда?! И за что?! Ну ладно, можно сказать, что это бизнес людей… каждый как может так и крутится. Покушать, особо не где.. цены средние, выбор так себе. Ну может скажете, что не так искали.в довершение прекрасная записка на автомобиле?! Я уже думала, что прошли времена, но нет… вот прекрасные впечатления о Евпатории.
      
      
",15 июля 2022
23,10,"
Особенное место в Крыму. Форос - это особенное место в Крыму, здесь отдыхал сам Гагарин. А также другие исторические герои.  И дача здесь не даром президентская. Выделяется здесь Санаторий Форос, его и видно сразу при спуске в пгт. Мы здесь отдыхали несколько раз. Современный санаторий с новейшей мед базой. И подлечат здесь вас без проблем. А природа в санатории - это нечто. Санаторий находится в самом форосском парке. Территория  охраняема, парк все время реставрируют после Украины.

",13 июня 2022
24,9,"
Место силы! В Форосе впервые отдыхали ещё аж в 1998 году) Тогда снимали квартиру. Потом часто бывали в самом ПГТ. и в парке. А в этом году мы раскошелились на отдых в самом санатории. Отдыхали в марте. Море конечно еще было холодное но в санатории есть шикарный бассейн с морской водой. Он и красивый и очень функциональный. Там была и сауна финская и хамам. Вообще если понять суть ФОрос то я бы рекомендовала бы именно санаторий Форос. Потому что он находится прямо в парке Фороса, а это главная достопримечательность поселка. Плюс виды здесь шикарные и на море и на горы. Персонал очень приятный. Невероятное место.Место силы!
      
      
",28 мая 2022
25,9,"
Хорошее место для отдыха! Езжу отдыхать второй год!Хорошие номера,отличная кухня.Есть медцентр,качалка,бильярд.Очень близко к морю.Шикарная природа.Остался доволен.Обязательно приеду еще!
      
      
",24 мая 2022
26,10,"
Лучший отдых в ""Уютном дворике"" Евпатория Я очень полюбила Евпаторию ,отдыхала июнь 2021 и уже на чемоданах ,билеты куплены на июнь 2022. Еду к тем же прекрасным  людям Ирина и Александр,такого гостеприимство очень редко встретишь ,порядок  уют ,соответствует названию ""Уютный дворик "" Все рядом ,все подскажут ,свозят . 
      
      
",22 апреля 2022
27,10,"
Одна из изюминок Севастополя Завораживает. Прекрасное место. Туда тянет снова и снова. 
      
      
",15 марта 2022
28,1,"
У злой свекрови. Косицкого, 27 Косицкого, 27 ""Руслан и Наталья"" - ужасно. Врагам не пожелаю провести свой отпуск в данном гостевом доме. Никогда такого хамского отношения не встречала, хотя мы путешествуем очень часто. Ощущение будто попали в дом к злой свекрови: ""Не ходите по ковру- вы протрете в нем дыру! "". Ужасная атмосфера, мы выдохнули, когда уехали оттуда! Гонору у хозяйки- будто она одолжение делает, что снизошла до нас, простых смертных, и позволила пожить в ее ""дворце""))). До моря, кстати, далеко. Впрочем как и до магазинов. Впечатление испорчено обо всем городе благодаря данному заведению. Однозначно не рекомендую. 
      
      
",13 февраля 2022
29,10,"
Никто не забыт... Были с внуком (10 лет) в июне 2021 года. Экскурсия тяжёлая, даже сейчас слёзы наворачиваются, очень познавательная. Внук мой был впечатлён. Очень переживали, когда узнали, что Аджимушкайские каменоломни затопило в этом же году. Советские солдаты, мирные жители, детки и так столько пережили, а тут ещё и могилы их затопило...сердце разрывается от боли... Ещё хотелось бы посоветовать организаторам эксеурсии, чтобы говорили о том что желательно брать с собой детские игрушки...мы не знали, к сожалентю. Всё, что мы увидели в каменоломнях навсегда останется в наших сердцах и  в нашей памяти. Низкий поклон советским солдатам и всему поколению. Спасибо вам и простите нас...
      
      
",29 января 2022
30,10,"
Судак самый лучший город Крыма Удивляюсь тем, кто пишет про судак плохо. Отдыхаю в Крыму с 2001г. Так как по роду службы не выездная. С 2006г.пыталась разнообразить свой отдых и делю его на 2 части . Первую провожу в незнакомом для меня месте Крыма, а во вторую возвращаюсь в Судак. Так вот за все это время- лучше и роднее Судака не нашла. Ялта, Алупка, Алушта, Рыбачье, Феодосия, Коктебель и т.д. В судаке чистейшее море. ВСЕГДА! За исключением может быть пары дней с приливом. Есть что посмотреть по всему Крыму. И самое главное- МЫ ДОМА!!! Понятно что в Турции шведский стол и all inclusive, но что вы простите больше пляжа и стола увидите? Как обычно, в сентябре 2021 была в Судаке. Было действительно не как обычно. Прохладнее. Но это по всему Крыму! Зачем на Судак наговаривать ?Подводя итог: Судак самый лучший город Крыма. Здесь всегда теплее чем в ближайших городах так как от спрятан за горами. Дожди не более 2-х дней. Жилье и питание можно выбрать по своему кошельку. 
      
      
",05 января 2022
31,1,"
Где служба безопасности Сегодня довелось посетить парк ТАЙГАН. Получили много разных эмоций, втом числе и неготивные. Всёшло хорошо, пока я не обноружил что потерялся мой четырёх летний сын, оббежал пол парка. Принял решение сообщить администрации и попросить их сделать объявление по калонкам которые весят и играют по всему парку, на что получил ужасающий ответ: объялений не делаем ищите сами😡😡😡😡. Пришлось оббежать весь парк (32 гектара) и лично донесть эту информацию каждому сотруднику парка. Только так достиг результата. Службу безопасности просто отсутствует, Ваш ребёнок Ваши проблемы, решайте сами. 😵😵😵
      
      
",07 ноября 2021
32,10,"
Хороший Театр. Рекомендую Решила отметить День Рождения сына посещением Театра Юного Зрителя . Спектакль « Варшавская мелодия». Впечатление великолепное.  Постановка и артисты были на очень высоком уровне. Затронули душу и вызвали эмоции . Вечер удался. Моим коллегам спектакль тоже понравился. Спасибо вам за Праздник!!!
      
      
",11 октября 2021
33,1,"
Очень неприятный осадок из-за хамского поведения охранника при кассе Само место удивительное.Но хамское поведение охранника при кассе, устроившего скандал экскурсоводу в присутствии группы на вопрос кассиру, есть ли льготы на вход гиду, зарегистрированному в реестре экскурсоводов. Вместо ответа - раздраженный крик, скандал на всю очередь. Зачем спрашивать документ, зачем внимательно его читать, чтобы потом злобно орать? Почему нельзя ответ дать корректно и доброжелательно?Билет куплен. Но атмосфера путешествия испорчена и у меня, и у всей группы. Вожу экскурсии по Крыму с большим удовольствием, часто показываю любимые места друзьям, которых у меня много, но возвращаться в Чуфут-Кале больше не хочется из-за такого отношения работников к посетителям. Очень жаль, что в культурных объектах Крыма работают люди с низким уровнем культуры.
      
      
",24 сентября 2021
34,1,"
Осторожно-мошенники с голубями г. Севастополь В г. Севастополе в районе Графской пристани крутятся молодые люди с голубями и прочей живностью. Предлагают сфотографироваться вам или вашему ребенку с голубем. Потом подходят и сажают еще голубя. Еще и еще. Вы в восторге от дружелюбия и веселых аниматоров. Вы протягивает купюру в 500р., или в 1000р. и т. д., и остаётесь без денег... Вам назовут сумму, сосчитав каждое животное, ещё и должны им как бы останитесь!!! Поэтому гоните этих птичников подальше сразу.
      
      
",23 сентября 2021
35,2,"
Очень красивая природа но отдыхать очень плохо. Ужасное отношение к туристам. Сервиса нет вообще. Грубые продавцы таксисты обслуживающий персонал. Цены высокие. Гостеприимства нет вообще. Отдыхали в Отрадном море чистое. Природа красивая. Посмотрели покупались и с удовольствием уехали домой. В Сочи в1000 раз лучше. 

",21 сентября 2021
36,10,"
Самый потрясающий, романтичный город на Земле Добрый день, дорогие друзья! Мы - семья Волковы из Краснодарского края отдыхали в Ялте с 21.08 по 28.08.2021г. в первый раз. И влюбились в этот красивейший и самый романтичный город в мире с первого взгляда. Место отдыха - очень зелёный и замечательный санаторий им. Кирова. Поразило буквально все: и красота города, и природа, и архитектура, но самое главное - атмосфера, царящая в Ялте. Слов нет описать наш фееричный отдых, поэтому мы сотворили видеоклип об этом и делимся с Вами. 
      
      
",18 сентября 2021
37,1,"
Ужасно С таким мы ещё не сталкивались, хотя много уже где побывали! Хозяйка Наталья считает нормальным стать под окнами в 8:30 и орать соседу Александру, что у неё живут гости ""Колхоз Красное Дышло!!!!"" Также высказываться не стесняясь  матом!!! В гост.доме проблемы с водой, то горячая то холодная, мучение принять душ!!! С wi-fi тоже проблемы. Наталья может только мило улыбаться, когда ей платишь деньги. На этом её радушие заканчивается! Стоит ли Вам туда ехать, делайте выводы сами!!! Наталья не забывайте, что мы Вам платим!!!!
      
      
",16 сентября 2021
38,10,"
Всем советую) Плюсы: -Великолепная атмосфера того времени. -Аудио и световое шоу-Индивидуальный экскурсовод в наушнике. Интересное повествование по зонам музея.-Качественные экспонаты (манекены) и реальные военные образцы-Разрешена видео и фотосъемка в любом из залов-Оптимальное время и маршрут посещения. Есть, чему уделить внимание, интересная история, которая не требует слишком много времени.Минусы: не обнаружил.

",09 сентября 2021
39,6,"
Билеты Билеты продавали бы единые. Купил на экскурсию , в музеи не пускают. Надо другой билет. 
      
      
",05 сентября 2021
40,8,"
Феодосия Крым август 2021 13 ночей. 52 тыс за перелёт на двоих, 68 за отличный отель Reiss в центре города и мы начали свой отдых. В Крыму во второй раз первый раз путешествовали на машине и объехали юбк. Выбор пал на Феодосию потому что искали песочный пляж, набережную где можно погулять вечером. Совет: выбирайте хороший отель иначе впечатление от отдыха будет испорчено потому что Крым это разруха повсюду заброшенные полуразрушенные здания, дикие цены, грязь. Приходится много ходить поэтому отдых не для ленивых. Климат Феодосии хороший днем жарко но не душно как на юбк. Вечером комфортно. Пляжи песчаные и песок - мелкая галька. Вход в море пологий песчаный море чистое. Отдыхом довольны впреди 5 дней загар уже хороший. Есть куда съездить. Вышло около 170 тысяч дорого но из за отсутствия возможности поехать за границу лучший вариант. К слову за эти деньги в 2019 году взяли тур во Вьетнам на месяц. + с собой 50к. 
      
      
",28 августа 2021
41,10,"
Незатронутая  человеком  территория? Смешно! Почти  весь  был  позастроен садовыми  товариществами, а  теперь  ещё  и  многоэтажек  понастроили... Когда  я  была  там  в  13, кое-где  ещё  были  остатки  полынной  степи, интересно, хоть  кусочек  остался? Моя  пятёрка  - не  к  сервису и  вообще  не  к тому, что  возведено  там  человеком. К морю, пляжам, обрывам и степи. Хотя гостевой  дом  Мабир мне весьма  понравился. И да, монастырь  хорош внешне. Внутри я  не  была. Лестница  к  Яшмовому  пляжу  - природный  тренажёр, на  раз-два приводит в  форму)                     
      
      
",20 августа 2021
42,10,"
Посещала пляж 117 в прошлом году. Понравилось. Пляж очень просторный и чистый, ни соринки, ни мусоринки. Приятно, что работники тщательно следят, чтобы место было в идеальном состоянии. Отдыхать здесь комфортно. 
      
      
",13 августа 2021
43,2,"
Опасно для жизни Сбежали из Евпатории, 2 дня назад. Отдыхали в заозерном, ребёнок 5 лет заболел каким то жутким ротовирусом. Ничего не помогало. На вторую ночь бесконечной рвоты вызвали скорую, ничего не сделали, не забрали, больницы все закрыты под ковид. Отругали что мы сюда приехали. Чудом нашли на третий день, когда уже надежды не было на спасение, платный центр, единственный…. Где поставили капельницу. В Вену попали с третьего раза( детей полно, всех капают. В общем, это был последний раз, последняя попытка посетить Крым. Антисанитария полная, пляжи грязные, туалет один и тот закрыт на ключ, ключ надо купить. Везде воняет нечистотами( берегите себя и главное детей. Спасать ни кто вас не будет. Мы заказали минивэн и на руках вынесли ребёнка и приехали в Москву. Дорога это отдельная песня( муж задорого заказал минивэн бизнес класса, и тут обманули. Дикая дорога, дико дорого. Это Крым, детка( 
      
      
",12 августа 2021
44,10,"
Очень познавательно! Крепость с очень интересной историей. Отличная экскурсия!Понравилось всей семье. Добирались на машине по старой дороге (которую порекомендовал Яндекс)-мы не рекомендуем)) Выезжали по новой дороге, которая сейчас в процессе строительства. 

",12 августа 2021
